"No.","Time","Source","Destination","Protocol","Length","Info"
"111","6.147375","23.227.142.154","10.200.251.252","TCP","590","80  >  55620 [PSH, ACK] Seq=34841 Ack=229 Win=65535 Len=536 [TCP PDU reassembled in 1843]"
"112","6.147375","23.227.142.154","10.200.251.252","TCP","590","80  >  55620 [ACK] Seq=35377 Ack=229 Win=65535 Len=536 [TCP PDU reassembled in 1843]"
"113","6.147375","23.227.142.154","10.200.251.252","TCP","590","80  >  55620 [PSH, ACK] Seq=35913 Ack=229 Win=65535 Len=536 [TCP PDU reassembled in 1843]"
"114","6.147375","23.227.142.154","10.200.251.252","TCP","590","80  >  55620 [ACK] Seq=36449 Ack=229 Win=65535 Len=536 [TCP PDU reassembled in 1843]"
"115","6.147375","23.227.142.154","10.200.251.252","TCP","590","80  >  55620 [PSH, ACK] Seq=36985 Ack=229 Win=65535 Len=536 [TCP PDU reassembled in 1843]"
"116","6.147420","10.200.251.252","23.227.142.154","TCP","54","55620  >  80 [ACK] Seq=229 Ack=37521 Win=65535 Len=0"
"117","6.558202","23.227.142.154","10.200.251.252","TCP","590","80  >  55620 [ACK] Seq=37521 Ack=229 Win=65535 Len=536 [TCP PDU reassembled in 1843]"
"118","6.558202","23.227.142.154","10.200.251.252","TCP","590","80  >  55620 [ACK] Seq=38057 Ack=229 Win=65535 Len=536 [TCP PDU reassembled in 1843]"
"119","6.558202","23.227.142.154","10.200.251.252","TCP","590","80  >  55620 [PSH, ACK] Seq=38593 Ack=229 Win=65535 Len=536 [TCP PDU reassembled in 1843]"
"120","6.558202","23.227.142.154","10.200.251.252","TCP","590","80  >  55620 [ACK] Seq=39129 Ack=229 Win=65535 Len=536 [TCP PDU reassembled in 1843]"
"121","6.558359","10.200.251.252","23.227.142.154","TCP","54","55620  >  80 [ACK] Seq=229 Ack=39665 Win=65535 Len=0"
"122","6.558528","2600:140f:5e00:5::17d3:3c71","2401:4900:633f:c147:1c1d:acc7:1e68:b337","TLSv1.2","98","Application Data"
"123","6.558528","2600:140f:5e00:5::17d3:3c71","2401:4900:633f:c147:1c1d:acc7:1e68:b337","TCP","74","443  >  53172 [FIN, ACK] Seq=25 Ack=1 Win=566 Len=0"
"124","6.558528","2600:140f:5e00:5::17d3:3c71","2401:4900:633f:c147:1c1d:acc7:1e68:b337","TCP","74","[TCP Retransmission] 443  >  53172 [FIN, ACK] Seq=25 Ack=1 Win=566 Len=0"
"125","6.558611","2401:4900:633f:c147:1c1d:acc7:1e68:b337","2600:140f:5e00:5::17d3:3c71","TCP","74","53172  >  443 [ACK] Seq=1 Ack=26 Win=1023 Len=0"
"126","6.559045","23.227.142.154","10.200.251.252","TCP","590","80  >  55620 [PSH, ACK] Seq=39665 Ack=229 Win=65535 Len=536 [TCP PDU reassembled in 1843]"
"127","6.559045","23.227.142.154","10.200.251.252","TCP","590","80  >  55620 [ACK] Seq=40201 Ack=229 Win=65535 Len=536 [TCP PDU reassembled in 1843]"
"128","6.559045","23.227.142.154","10.200.251.252","TCP","590","80  >  55620 [PSH, ACK] Seq=40737 Ack=229 Win=65535 Len=536 [TCP PDU reassembled in 1843]"
"129","6.559045","23.227.142.154","10.200.251.252","TCP","590","80  >  55620 [ACK] Seq=41273 Ack=229 Win=65535 Len=536 [TCP PDU reassembled in 1843]"
"130","6.559045","23.227.142.154","10.200.251.252","TCP","590","80  >  55620 [PSH, ACK] Seq=41809 Ack=229 Win=65535 Len=536 [TCP PDU reassembled in 1843]"
"131","6.559045","23.227.142.154","10.200.251.252","TCP","590","80  >  55620 [ACK] Seq=42345 Ack=229 Win=65535 Len=536 [TCP PDU reassembled in 1843]"
"132","6.559045","23.227.142.154","10.200.251.252","TCP","590","80  >  55620 [PSH, ACK] Seq=42881 Ack=229 Win=65535 Len=536 [TCP PDU reassembled in 1843]"
"133","6.559045","23.227.142.154","10.200.251.252","TCP","590","80  >  55620 [ACK] Seq=43417 Ack=229 Win=65535 Len=536 [TCP PDU reassembled in 1843]"
"134","6.559045","23.227.142.154","10.200.251.252","TCP","590","80  >  55620 [PSH, ACK] Seq=43953 Ack=229 Win=65535 Len=536 [TCP PDU reassembled in 1843]"
"135","6.559045","23.227.142.154","10.200.251.252","TCP","590","80  >  55620 [ACK] Seq=44489 Ack=229 Win=65535 Len=536 [TCP PDU reassembled in 1843]"
"136","6.559045","23.227.142.154","10.200.251.252","TCP","590","80  >  55620 [PSH, ACK] Seq=45025 Ack=229 Win=65535 Len=536 [TCP PDU reassembled in 1843]"
"137","6.559045","23.227.142.154","10.200.251.252","TCP","590","80  >  55620 [ACK] Seq=45561 Ack=229 Win=65535 Len=536 [TCP PDU reassembled in 1843]"
