"No.","Time","Source","Destination","Protocol","Length","Info"
"1114","2.313271","92.223.116.253","10.216.143.252","TCP","1514","80  >  57205 [ACK] Seq=784397 Ack=439 Win=122 Len=1448 TSval=3140221531 TSecr=83368401 [TCP PDU reassembled in 2977]"
"1115","2.313271","92.223.116.253","10.216.143.252","TCP","1514","80  >  57205 [ACK] Seq=785845 Ack=439 Win=122 Len=1448 TSval=3140221531 TSecr=83368401 [TCP PDU reassembled in 2977]"
"1116","2.313300","10.216.143.252","92.223.116.253","TCP","66","57205  >  80 [ACK] Seq=439 Ack=787293 Win=537 Len=0 TSval=83368413 TSecr=3140221482"
"1117","2.314102","92.223.116.253","10.216.143.252","TCP","1514","80  >  57205 [ACK] Seq=787293 Ack=439 Win=122 Len=1448 TSval=3140221531 TSecr=83368401 [TCP PDU reassembled in 2977]"
"1118","2.318777","92.223.116.253","10.216.143.252","TCP","1514","80  >  57205 [ACK] Seq=788741 Ack=439 Win=122 Len=1448 TSval=3140221538 TSecr=83368413 [TCP PDU reassembled in 2977]"
"1119","2.318801","10.216.143.252","92.223.116.253","TCP","66","57205  >  80 [ACK] Seq=439 Ack=790189 Win=537 Len=0 TSval=83368418 TSecr=3140221531"
"1120","2.319391","92.223.116.253","10.216.143.252","TCP","1514","80  >  57205 [ACK] Seq=790189 Ack=439 Win=122 Len=1448 TSval=3140221538 TSecr=83368413 [TCP PDU reassembled in 2977]"
"1121","2.319391","92.223.116.253","10.216.143.252","TCP","1514","80  >  57205 [ACK] Seq=791637 Ack=439 Win=122 Len=1448 TSval=3140221538 TSecr=83368413 [TCP PDU reassembled in 2977]"
"1122","2.319416","10.216.143.252","92.223.116.253","TCP","66","57205  >  80 [ACK] Seq=439 Ack=793085 Win=537 Len=0 TSval=83368419 TSecr=3140221538"
"1123","2.321124","92.223.116.253","10.216.143.252","TCP","1514","80  >  57205 [ACK] Seq=793085 Ack=439 Win=122 Len=1448 TSval=3140221538 TSecr=83368413 [TCP PDU reassembled in 2977]"
"1124","2.336200","92.223.116.253","10.216.143.252","TCP","1514","80  >  57205 [ACK] Seq=794533 Ack=439 Win=122 Len=1448 TSval=3140221545 TSecr=83368419 [TCP PDU reassembled in 2977]"
